scenario,batch_size,use_cycle_time,replication,batch_completion_time,avg_cycle_time,avg_wip,station_1_utilization,station_2_utilization,station_3_utilization,station_4_utilization,station_5_utilization
Сценарий 1: Буферы отсутствуют,75,True,1,1385.1,18.394594594594594,2.0578297595841444,0.5024907948884554,0.2833730416576422,0.43614179481625903,0.3087863692152187,0.19413760739296743
Сценарий 1: Буферы отсутствуют,75,True,2,1384.0,18.405405405405407,2.062210982658958,0.5018786127167626,0.2848988439306359,0.4382225433526014,0.32268786127167587,0.18460982658959485
Сценарий 1: Буферы отсутствуют,75,True,3,1384.0,18.37972972972973,2.0556358381502875,0.5011560693641612,0.284971098265896,0.4386560693641621,0.3093208092485544,0.19356936416184908
Сценарий 1: Буферы отсутствуют,75,True,4,1384.0,18.405405405405407,2.054407514450866,0.49812138728323674,0.2842485549132948,0.43930635838150306,0.3132947976878608,0.19226878612716725
Сценарий 1: Буферы отсутствуют,75,True,5,1385.1,18.42027027027027,2.054219911919716,0.4973648112049669,0.28402281423723924,0.44112338459317035,0.3162948523572301,0.1877842755035733
Сценарий 1: Буферы отсутствуют,100,True,1,1798.0,17.939393939393938,2.063014460511679,0.48770856507230237,0.2913793103448276,0.4548387096774195,0.32502780867630676,0.19382647385984406
Сценарий 1: Буферы отсутствуют,100,True,2,1798.0,17.939393939393938,2.067908787541712,0.49043381535038905,0.2921579532814239,0.45717463848720813,0.3211345939933255,0.19521690767519423
Сценарий 1: Буферы отсутствуют,100,True,3,1798.0,17.92020202020202,2.072246941045605,0.4890433815350385,0.2946051167964405,0.4590100111234707,0.32569521690767456,0.19555061179087813
Сценарий 1: Буферы отсутствуют,100,True,4,1798.0,17.939393939393938,2.0679087875417115,0.48965517241379275,0.29315906562847616,0.4546718576195775,0.3239710789766402,0.1954393770856502
Сценарий 1: Буферы отсутствуют,100,True,5,1799.8999999999999,17.958585858585856,2.0655036390910597,0.4902494583032388,0.29168287127062625,0.4536363131285074,0.32207344852491787,0.19451080615589722
Сценарий 1: Буферы отсутствуют,75,False,1,707.5999999999999,9.239189189189188,37.98982475975127,0.9659412097230075,0.9619841718485022,0.9633973996608255,0.6642170717919725,0.7299321650650082
Сценарий 1: Буферы отсутствуют,75,False,2,712.0,9.324324324324325,39.04803370786517,0.9740168539325843,0.9698033707865169,0.976123595505618,0.666573033707865,0.5823033707865167
Сценарий 1: Буферы отсутствуют,75,False,3,693.0,9.041891891891892,38.23376623376623,0.9047619047619048,0.9735930735930737,0.9743145743145744,0.6585858585858586,0.753246753246753
Сценарий 1: Буферы отсутствуют,75,False,4,684.0,8.945945945945946,36.70219298245614,0.9005847953216374,0.8961988304093568,0.8976608187134503,0.6597953216374266,0.7770467836257307
Сценарий 1: Буферы отсутствуют,75,False,5,708.5999999999999,9.278378378378378,38.27081569291561,0.970928591589049,0.9674005080440307,0.9695173581710416,0.666384419983065,0.5221563646627151
Сценарий 1: Буферы отсутствуют,100,False,1,885.0,8.717171717171718,51.30214689265537,0.9785310734463277,0.9796610169491525,0.9807909604519774,0.6602259887005648,0.7797740112994348
Сценарий 1: Буферы отсутствуют,100,False,2,904.0,8.909090909090908,50.68661504424779,0.974004424778761,0.9712389380530974,0.9811946902654868,0.6640486725663712,0.6990044247787607
Сценарий 1: Буферы отсутствуют,100,False,3,904.0,8.88989898989899,49.76172566371681,0.9795353982300885,0.9758849557522125,0.9803097345132744,0.6624999999999991,0.6964601769911498
Сценарий 1: Буферы отсутствуют,100,False,4,909.0,8.95959595959596,51.21474147414741,0.9746974697469747,0.9801980198019802,0.9812981298129813,0.6652365236523645,0.6347634763476343
Сценарий 1: Буферы отсутствуют,100,False,5,905.0999999999999,8.92020202020202,52.67661031930174,0.9733731079438737,0.9700585570655177,0.9805546348469784,0.6633521157883103,0.6990387802452765
Сценарий 2: Буфер 1 самолет,75,True,1,1385.1,18.394594594594594,2.0578297595841444,0.44473323225759825,0.22742040285899937,0.43614179481625903,0.3087863692152187,0.19413760739296743
Сценарий 2: Буфер 1 самолет,75,True,2,1384.0,18.405405405405407,2.062210982658958,0.4462427745664736,0.22796242774566475,0.4382225433526014,0.32268786127167587,0.18460982658959485
Сценарий 2: Буфер 1 самолет,75,True,3,1384.0,18.37972972972973,2.0556358381502875,0.4454479768786122,0.22760115606936415,0.4386560693641621,0.3093208092485544,0.19356936416184908
